Date,AAPL_Close,ABEV_Close,AMD_Close,AMRN_Close,BAC_Close,CHK_Close,CSCO_Close,ECA_Close,F_Close,FB_Close,FCX_Close,GE_Close,GM_Close,INTC_Close,LYG_Close,MSFT_Close,MU_Close,ORCL_Close,PBR_Close,PCG_Close,SIRI_Close,SWN_Close,T_Close,VALE_Close,X_Close,AAPL_Volume,ABEV_Volume,AMD_Volume,AMRN_Volume,BAC_Volume,CHK_Volume,CSCO_Volume,ECA_Volume,F_Volume,FB_Volume,FCX_Volume,GE_Volume,GM_Volume,INTC_Volume,LYG_Volume,MSFT_Volume,MU_Volume,ORCL_Volume,PBR_Volume,PCG_Volume,SIRI_Volume,SWN_Volume,T_Volume,VALE_Volume,X_Volume
2016-11-21,111.730003,5.18,8.94,3.47,20.33,6.36,30.049999,12.19,11.79,121.769997,14.51,30.870001000000002,33.009997999999996,34.98,2.99,60.860001000000004,19.49,39.889998999999996,10.27,59.16,4.57,11.19,37.740002000000004,7.66,28.780001000000002,29264600,10762700,65595900,2056700,117479100,52822200,27481700,12300900,19508600,35415400,44386700,22136300,11667100,14259500,4454000,19652600,22744000,8073100,23399400,1417700,30447200,13684900,17247400,36040700,12353900
2016-11-22,111.800003,5.06,8.69,3.38,20.299999,6.44,29.889999,12.18,11.89,121.470001,15.12,31.18,33.810001,35.48,3.0,61.119999,19.74,40.09,10.48,59.32,4.61,11.06,38.549999,8.29,32.209998999999996,25965500,23481400,71312800,2039900,104771800,42597000,26769300,11712700,24274700,26089200,51127000,27721300,12283800,22327400,6060100,23206700,22219100,10993100,28220000,2342200,30531900,14017800,26152000,53670800,28316700
2016-11-23,111.230003,5.17,8.8,3.46,20.559998999999998,6.64,29.709999,12.38,11.9,120.839996,16.209999,31.34,33.860001000000004,35.200001,2.99,60.400002,19.91,40.099998,10.46,58.709998999999996,4.59,11.5,38.73,8.39,33.060001,27426400,21245400,34583200,1882400,110801300,43486800,24358300,13325700,22414000,15672100,68673500,24273100,8708800,15843100,6224500,21847200,20041300,11070100,22145000,1222700,17674500,13541800,21343400,40948800,25442700
2016-11-25,111.790001,4.96,8.77,3.42,20.860001,6.59,30.09,12.16,12.04,120.379997,16.0,31.440001000000002,34.25,35.439999,2.95,60.529999,20.129998999999998,40.27,10.2,59.290001000000004,4.61,11.47,39.209998999999996,8.42,33.23,11475900,7318600,14214100,756000,62610400,20863100,17678900,4790300,11439600,8658600,29522100,13161500,5317700,6372800,2216900,8409600,16308000,4013100,11309900,1726100,10666400,4958700,10844400,24372900,10655300
2016-11-28,111.57,5.11,8.83,3.34,20.299999,6.34,29.92,11.7,11.92,120.410004,15.78,31.25,34.049999,35.509997999999996,2.87,60.610001000000004,19.99,40.299999,10.25,60.740002000000004,4.54,11.64,39.540001000000004,9.1,32.169998,27194000,22182200,25907800,1742300,108651200,46765900,21468900,11028800,24407200,18101300,28522100,22092700,11516600,13549000,5684000,20732600,22205900,12118300,18695800,2057800,21318400,16049100,26656500,61928500,19480100
2016-11-29,111.459999,4.99,8.93,3.31,20.290001,6.37,29.83,11.31,11.92,120.870003,14.97,31.049999,34.57,35.310001,2.89,61.09,19.42,40.549999,9.85,60.459998999999996,4.61,11.59,39.48,8.55,31.16,28528800,39724300,54831400,1521100,114216800,51143200,23553700,14054600,23690800,18891000,40857500,31423700,12610000,19581000,6260700,22366700,37924400,10157400,22362400,3046800,36473100,11230700,19857200,51248300,25798200
2016-11-30,110.519997,4.99,8.91,3.24,21.120001000000002,7.0,29.82,12.6,11.96,118.41999799999999,15.35,30.76,34.529999,34.700001,2.92,60.259997999999996,19.530001000000002,40.189999,10.87,58.799999,4.57,11.35,38.630001,8.49,32.34,36162300,30008000,36511900,2008000,191699600,122299500,26224900,29403000,47646200,30188900,41712200,45636900,15681700,27016100,7305600,34655400,26031700,14374600,42463700,3441900,31387400,29274200,32679300,43212700,18482000
2016-12-01,109.489998,4.76,8.39,3.08,21.5,7.05,29.450001,12.75,12.43,115.099998,15.03,31.389999,36.43,33.759997999999996,2.91,59.200001,18.48,38.700001,10.53,58.040001000000004,4.56,12.13,38.880001,8.21,32.029999,37086900,51289800,56682400,2260900,199233900,108877700,25996200,23644900,95143600,43277000,31831700,44702000,37092300,29618700,5668400,34542100,40713100,22740200,46239900,2306300,30967500,21485400,27398400,54459600,12981300
2016-12-02,109.900002,4.78,8.53,3.17,21.23,7.23,29.25,12.69,12.24,115.400002,15.42,31.34,35.41,34.16,2.94,59.25,18.790001,38.5,10.68,58.279999,4.3,11.67,38.610001000000004,8.44,33.610001000000004,26528000,36156200,42398900,1205700,128468700,51162100,27069500,28905000,38689800,25070400,27354600,21401000,22753400,21492500,4307500,25515700,25887600,19120300,30826000,2342900,93331500,12783400,16102200,39886600,13634900
2016-12-05,109.110001,4.82,8.68,3.26,21.84,7.48,29.530001000000002,12.77,12.44,117.43,15.87,31.110001,34.939999,34.389998999999996,2.98,60.220001,18.610001,38.970001,10.45,58.380001,4.33,12.29,38.630001,8.66,35.209998999999996,34324500,13226000,31410100,1238800,130377300,59778500,20865800,10114700,36220000,20201500,35554000,22138300,12440400,14462000,5806300,23552700,26635500,13681500,33376600,2864200,47752100,16914000,20773400,36695400,18706100
2016-12-06,109.949997,4.85,9.45,3.3,22.16,7.58,29.33,12.61,12.56,117.309998,15.89,31.17,35.07,34.720001,3.07,59.950001,19.059998999999998,39.470001,10.77,58.380001,4.41,12.45,39.349998,8.81,35.950001,26195500,21386200,92242900,713900,120789200,58871600,27352100,9046800,23923900,19131200,24449200,17573300,11867800,15297700,6487500,19907000,22267800,13524700,39412200,1664100,28000600,11955300,23569800,34440600,19570500
2016-12-07,111.029999,4.91,9.56,3.24,22.57,7.58,29.950001,12.42,13.06,117.949997,15.43,31.6,36.299999,35.5,3.19,61.369999,20.440001000000002,40.32,10.81,58.799999,4.5,12.37,40.450001,9.16,37.490002000000004,29998700,17371300,54897300,1286200,168005200,76003000,30180100,13004000,58600400,21913700,39354700,32897000,26622400,21710300,9995800,30809000,44735700,15170600,27947200,2023900,31741600,12380400,32963400,43931300,23864400
2016-12-08,112.120003,4.85,10.34,3.26,22.950001,7.6,29.950001,12.81,13.03,118.910004,15.6,31.530001000000002,36.419998,35.700001,3.19,61.009997999999996,20.66,40.349998,10.87,59.189999,4.54,12.36,40.41,8.94,37.369999,27068300,13151800,104613000,1123100,182693900,72009800,21369900,11506100,41459500,22442800,28296000,28145100,14516000,19966500,5333200,21220800,36257400,10109700,28210600,1854300,23204500,11105500,21999100,37289100,27018000
2016-12-09,113.949997,4.89,10.34,3.22,23.09,7.72,30.059998999999998,12.88,13.17,119.68,15.75,31.780001000000002,37.66,35.759997999999996,3.14,61.970001,20.5,40.52,10.84,59.330002,4.54,12.61,40.380001,8.78,36.060001,34402600,19669900,60600800,1389700,130590400,44637000,21362000,7008200,45256100,17464700,25150200,31227400,26434200,16326900,4423300,27349400,23978000,11219100,21652800,3849300,24422100,8076800,17105200,26109200,16775700
2016-12-12,113.300003,4.82,10.68,3.22,22.610001,7.35,30.17,12.85,12.82,117.769997,15.36,31.860001,37.099998,35.970001,3.16,62.169998,20.02,40.509997999999996,10.93,59.82,4.45,11.5,41.119999,8.8,34.779999,26374400,24803700,63342900,1030300,136986000,88027200,17287800,12790700,39596800,17805500,24466700,31040700,15575200,21985800,4848300,20198100,28676100,10891400,26035700,3114200,20662700,17949600,31910100,31607000,17022900
2016-12-13,115.190002,4.88,10.54,3.22,22.610001,7.37,30.59,12.88,12.77,120.309998,15.04,31.74,37.360001000000004,36.799999,3.18,62.98,20.129998999999998,40.759997999999996,10.94,60.59,4.54,11.31,41.360001000000004,8.49,34.990002000000004,43733800,30562300,46967800,1026500,118204100,66389800,25052900,7444900,39570500,29768000,35342200,34500400,9228800,35773600,13496300,35718900,26252400,12493100,18621300,2659600,31613300,20203700,21159900,30186600,20024700
2016-12-14,115.190002,4.78,10.55,3.19,22.67,7.08,30.459999,12.25,12.53,120.209999,14.65,31.5,35.950001,36.549999,3.15,62.68,20.02,40.880001,10.4,59.5,4.51,10.92,41.099998,8.28,35.529999,34031800,56554000,46968600,924700,225340900,67652000,27556000,11790300,42820100,25913100,28512000,43675300,19799000,30819400,9419100,30352700,19489100,25102400,28747800,3074300,28339200,16019500,26333400,38042900,19077500
2016-12-15,115.82,4.81,10.86,3.16,23.16,7.03,30.629998999999998,12.24,12.58,120.57,14.61,31.26,36.240002000000004,36.790001000000004,3.2,62.580002,20.290001,40.860001000000004,10.26,60.009997999999996,4.49,10.65,41.5,8.45,35.84,46524500,50656200,48871300,983500,162025800,59725800,20914100,10447400,23774800,20139600,29535500,43377400,18215600,23721500,6187800,27669900,19453100,17783500,33867200,1927600,26275100,14757900,24486600,35684800,16287700
2016-12-16,115.970001,4.91,10.66,3.2,22.66,7.18,30.59,12.19,12.63,119.870003,13.83,31.75,36.369999,36.310001,3.19,62.299999,20.27,39.099998,10.21,61.040001000000004,4.52,10.49,41.669998,8.17,34.700001,44351100,26288200,76990000,1194200,146518600,57932300,45284300,16014100,28099200,25324300,55022700,68600200,23566000,37794500,4177900,42204700,36643400,44992700,21747100,4373400,30931300,16841800,26493100,30724100,15293200
2016-12-19,116.639999,4.84,10.95,3.16,22.48,7.31,30.75,12.42,12.66,119.239998,13.55,31.92,36.400002,36.889998999999996,3.11,63.619999,20.35,38.900002,9.88,60.82,4.53,10.69,42.119999,7.72,34.48,27779400,16443400,46085800,1997000,97508900,40455900,18178500,6018200,22830000,15918100,37707700,34951800,10960800,18744300,5593200,34338200,23555900,15135100,21981000,2349200,26722900,10280400,20563900,37517400,13639800
2016-12-20,116.949997,4.83,11.51,3.12,22.709999,7.29,30.559998999999998,12.51,12.78,119.089996,14.16,32.25,36.610001000000004,37.209998999999996,3.19,63.540001000000004,20.65,39.0,9.91,61.130001,4.53,10.38,42.470001,7.9,36.810001,21425000,15256800,59314200,2308100,83879500,40054600,17475200,23013400,17834000,13684400,24891100,39818200,8795900,18551800,5490300,26028400,23018500,14006400,17269500,2090200,17072200,8285400,21164400,19822800,16737400
2016-12-21,117.059998,4.84,11.47,3.05,22.629998999999998,7.43,30.42,12.3,12.64,119.040001,14.05,32.130001,36.419998,36.98,3.21,63.540001000000004,20.58,38.830002,9.93,61.119999,4.53,10.98,42.360001000000004,7.91,36.470001,23783200,10775200,44814100,1146700,61079100,38914900,14488900,8098300,18117100,10767600,15014100,27964700,6669700,14323600,8132300,17096300,32034500,11966400,19479500,1505200,15025100,18685000,13753000,14345400,14102500
2016-12-22,116.290001,4.77,11.6,2.99,22.540001,7.34,30.459999,12.21,12.4,117.400002,13.8,31.82,35.689999,36.93,3.13,63.549999,23.190001000000002,38.959998999999996,9.88,61.279999,4.51,11.08,42.720001,7.79,35.77,26085900,12306800,36450800,1935300,67123500,30818200,12935800,5840300,27821100,16258600,17898100,24193800,9911700,10793900,7221600,22176600,85870000,11226300,14120400,966200,11433100,11892600,17560600,20751300,10410100
2016-12-23,116.519997,4.86,11.58,3.11,22.6,7.44,30.530001000000002,12.1,12.46,117.269997,13.81,31.879998999999998,35.689999,36.970001,3.13,63.240002000000004,23.26,38.779999,10.11,61.189999,4.51,11.01,42.73,7.71,35.779999,14249500,5973200,32216900,2648200,38093700,27230700,9167500,4463400,15578200,10890000,12554500,14559700,9044300,6286000,3465300,12398000,27717300,8142400,16639000,703500,11108200,8793100,9641200,20109300,6355600
2016-12-27,117.260002,4.89,12.07,3.11,22.610001,7.59,30.68,12.14,12.39,118.010002,13.76,31.9,35.540001000000004,37.07,3.13,63.279999,23.299999,38.82,10.15,61.18,4.53,11.02,42.650002,7.9,36.27,18296900,7997700,44336500,750100,39988600,44681700,14175500,4484500,19467400,12051500,15942800,15655900,6008700,9033700,4920600,11763200,24214100,5073700,13155000,909300,19641100,8965400,11432700,15143700,7052200
2016-12-28,116.760002,4.91,11.55,3.08,22.33,7.23,30.42,12.1,12.25,116.91999799999999,13.57,31.700001,35.150002,36.630001,3.09,62.990002000000004,22.780001000000002,38.68,10.33,60.080002,4.5,10.89,42.52,8.02,35.080002,20905900,10682800,71254500,660100,52652900,69491600,12022200,4999100,26875400,12087400,18482600,18885700,8451900,12868600,3972100,14653300,24026900,8264100,14336500,998500,14938500,9587500,11026900,22012700,10662400
2016-12-29,116.730003,4.95,11.59,3.01,22.0,7.16,30.459999,11.83,12.23,116.349998,13.48,31.709999,35.139998999999996,36.66,3.09,62.900002,22.27,38.689999,10.33,61.09,4.47,10.7,42.66,7.91,34.869999,15039500,11418400,50147700,1294200,78979400,35325300,10981800,6643100,19714400,9934900,15225400,16072300,4415300,8447300,4737300,10181600,19890500,5711800,13073600,1080000,18389400,5611800,12312100,25083500,9667600
2016-12-30,115.82,4.91,11.34,3.08,22.1,7.02,30.219998999999998,11.74,12.13,115.050003,13.19,31.6,34.84,36.27,3.1,62.139998999999996,21.92,38.450001,10.11,60.77,4.45,10.82,42.529999,7.62,33.009997999999996,30586300,8423400,44095400,1451200,72605900,46054500,20190000,6152000,27405700,18684100,16761800,25455200,7646100,17468000,4180100,25579900,20268900,10820200,12726700,1678300,37079700,7459100,16674000,14623300,15711000
2017-01-03,116.150002,5.07,11.43,3.09,22.530001000000002,6.92,30.540001,11.94,12.59,116.860001,13.78,31.690001000000002,35.150002,36.599998,3.22,62.580002,22.549999,38.549999,10.83,60.369999,4.44,9.97,43.02,8.05,34.709998999999996,28781900,16284700,55182000,839000,99298100,55800800,22370600,9352100,40510800,20663900,28586200,32149500,10904900,20196500,9268200,20694100,24962900,11051300,22779400,1731300,34124300,23390000,26006600,27690200,15395700
2017-01-04,116.019997,5.11,11.43,3.13,22.950001,7.0,30.1,12.95,13.17,118.690002,14.83,31.700001,37.09,36.41,3.22,62.299999,22.360001,38.740002000000004,10.8,60.59,4.53,10.28,42.77,8.05,37.330002,21118100,11868200,40781200,1875500,76875100,48230400,22281000,21494300,77638100,19630900,36310900,21442900,23388500,15915700,5964700,21340000,20426800,9545500,13942000,1788000,26824600,13678300,23203000,15069500,21023000
2017-01-05,116.610001,5.16,11.24,3.06,22.68,7.18,30.17,12.8,12.77,120.66999799999999,14.62,31.52,36.389998999999996,36.349998,3.29,62.299999,22.110001,38.639998999999996,11.1,60.540001000000004,4.64,10.32,42.650002,8.3,36.080002,22193600,9034400,38855200,2405800,86826400,54284200,18372500,11977900,75628400,19492200,34956000,25856800,15636700,13986000,9397200,24876000,19759400,12064700,18250600,3939000,36249800,16387400,25711200,24451400,15312600
2017-01-06,117.910004,5.09,11.32,3.0,22.68,7.01,30.23,12.95,12.76,123.410004,14.9,31.610001,35.990002000000004,36.48,3.27,62.84,22.040001,38.450001,10.87,61.220001,4.56,10.25,41.32,7.99,35.400002,31751900,17012000,34453500,1754300,66281500,39765900,15923200,10182700,40315900,28545300,24449100,22120800,13240100,15114000,4941600,19922900,17782200,14829700,24727100,3100300,25179400,11069800,32687900,17527900,11753400
2017-01-09,118.989998,5.13,11.49,3.05,22.549999,6.87,30.18,12.71,12.63,124.900002,14.68,31.459999,36.009997999999996,36.610001000000004,3.21,62.639998999999996,22.34,39.029999,10.83,60.299999,4.6,9.75,40.799999,8.22,33.610001000000004,33561900,14844000,37128000,1609500,75744700,40570700,17177800,10685000,39183400,22880400,17246400,21112100,15201300,19449400,6581500,20256600,21537200,15586600,12758700,1939400,33668700,15488200,25379700,20672300,15023800
